,census tract,income z-score,computers z-score,internet z-score,composite index value
352,53033029504,-0.962533765,-0.232673298,-0.18126086,107790710.37119
353,53033029505,-1.282838552,1.001446634,0.870768768,107790710.37721
354,53033029506,-1.339694222,-0.743343615,-0.014602701,107790710.37379
355,53033029507,-0.234627581,0.202705882,0.508808079,107790710.38105
356,53033029508,0.145697989,1.001446634,1.14419231,107790710.38677
357,53033029602,0.725821321,-0.330879128,-0.001582533,107790710.57397
358,53033029603,-0.103694301,1.001446634,1.14419231,107790710.57935
359,53033029604,-1.038217204,1.001446634,0.792647756,107790710.57877
360,53033029701,-1.129470206,-1.777778358,-1.748889167,107790710.76493
361,53033029702,-1.037309561,-1.054328743,-1.110900903,107790710.76991
362,53033029803,-0.899324596,-0.13119394,-0.74633618,107790710.97810
363,53033029804,0.336675325,1.001446634,1.14419231,107790710.98879
364,53033029805,-0.270235103,0.592255675,0.493183876,107790710.98743
365,53033029806,-0.552651625,0.395844015,0.139035289,107790710.98777
366,53033029901,-0.367911423,0.644632118,1.01919869,107790711.18353
367,53033029902,0.572383157,0.484229262,0.644217833,107790711.18638
368,53033030003,-0.868674199,-0.275229158,-0.207301198,107790711.38547
369,53033030005,-0.89227291,0.827949667,-0.59269819,107790711.39094
370,53033030006,-1.364922035,-1.659931362,-0.988511317,107790711.38615
371,53033030007,-1.621552195,0.520238066,0.123411086,107790711.39435
372,53033030008,-1.168824663,-0.193390966,-0.798416855,107790711.39398
373,53033030101,-0.995697634,-0.258861519,-1.488485794,107790711.58182
374,53033030102,-0.294438909,-1.440605008,-0.798416855,107790711.58428
375,53033030201,-1.023927649,0.127414746,-0.071891443,107790711.78868
376,53033030203,-1.014455583,1.001446634,-0.035434971,107790711.79462
377,53033030204,-1.321331912,-1.073969909,-3.733162871,107790711.78429
378,53033030304,-0.416784492,0.294364657,0.873372801,107790712.00153
379,53033030305,-0.969119993,0.729743837,-0.579678021,107790712.00037
380,53033030306,-0.300978591,0.025935388,-0.118764051,107790712.00326
381,53033030308,-0.843376568,0.723196782,-0.100535815,107790712.00768
382,53033030309,-0.912357414,-0.288323268,0.118203019,107790712.00796
383,53033030310,-0.164808911,-0.684420117,0.290069245,107790712.01106
384,53033030311,-0.4412443,0.068491248,-0.256777838,107790712.01295
385,53033030312,-0.720937893,0.778846752,-0.761960383,107790712.01483
386,53033030313,-1.400296828,-1.71885486,-1.428593018,107790712.00905
387,53033030314,-1.527529719,-0.363614405,-0.954658879,107790712.01454
388,53033030403,-0.214705987,-0.573120176,-0.183864894,107790712.19924
389,53033030404,-0.372309999,0.68391445,0.571304888,107790712.20505
390,53033030405,-0.796458421,-2.530689723,-4.769568296,107790712.18883
391,53033030406,-0.939447058,-3.19521584,-1.699412526,107790712.19546
392,53033030407,-0.574737597,1.001446634,-3.024865696,107790712.20407
393,53033030501,-1.89047044,-3.535662717,-2.623844501,107790712.38404
394,53033030503,-1.185371688,-2.429210365,-2.126474058,107790712.39280
395,53033030504,-1.006705711,-1.168902212,-1.410364782,107790712.39922
396,53033030600,-1.180507654,-0.465093763,0.045290074,107790712.59837
397,53033030700,-1.440628747,-0.893925887,-1.379116377,107790712.79733
398,53033030801,-1.431389409,-1.093611075,-0.735920045,107790713.00353
399,53033030802,-1.084460437,-1.090337548,-2.222823306,107790713.00326
400,53033030901,-0.642810801,0.471135151,-1.267142927,107790713.21049
401,53033030902,-1.081714235,-1.109978714,-1.019759722,107790713.20892
402,53033031000,0.172112719,-0.317785017,0.409854797,107790713.41517
403,53033031101,-0.975403673,-0.239220353,-0.452080368,107790713.61653
404,53033031102,-1.229241086,-0.474914346,-1.358284107,107790713.61573
405,53033031202,-0.373869283,0.255082325,-0.345314985,107790713.82426
406,53033031204,-0.18114648,0.255082325,0.550472619,107790713.83054
407,53033031206,-0.582254741,-0.556752537,-0.095327747,107790713.83082
408,53033031207,-0.39083522,0.602076258,0.826500194,107790713.83748
409,53033031208,-0.863810165,0.729743837,0.237988571,107790713.83761
410,53033031301,-0.006599804,-1.617375503,-0.907786272,107790714.02128
411,53033031302,-1.115692655,-1.299843319,-0.806228956,107790714.02191
412,53033031400,-0.232160655,-0.199938021,0.441103202,107790714.22766
