GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53033021802,WA,53033021802,53033021802,113472,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021803,WA,53033021803,53033021803,115778,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021804,WA,53033021804,53033021804,101786,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021903,WA,53033021903,53033021903,84471,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021904,WA,53033021904,53033021904,129844,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021905,WA,53033021905,53033021905,104671,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021906,WA,53033021906,53033021906,126023,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022001,WA,53033022001,53033022001,118409,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022003,WA,53033022003,53033022003,121753,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022005,WA,53033022005,53033022005,86783,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022006,WA,53033022006,53033022006,110931,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022101,WA,53033022101,53033022101,160000,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022102,WA,53033022102,53033022102,147452,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022201,WA,53033022201,53033022201,107981,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022203,WA,53033022203,53033022203,136140,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022204,WA,53033022204,53033022204,130762,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022205,WA,53033022205,53033022205,99063,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022300,WA,53033022300,53033022300,164556,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022401,WA,53033022401,53033022401,148321,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022402,WA,53033022402,53033022402,117361,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022501,WA,53033022501,53033022501,154978,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022502,WA,53033022502,53033022502,127649,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022603,WA,53033022603,53033022603,139180,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022604,WA,53033022604,53033022604,155500,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022605,WA,53033022605,53033022605,114683,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022606,WA,53033022606,53033022606,124844,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022701,WA,53033022701,53033022701,161522,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022702,WA,53033022702,53033022702,188102,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022703,WA,53033022703,53033022703,163977,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022802,WA,53033022802,53033022802,156392,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022803,WA,53033022803,53033022803,147738,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022804,WA,53033022804,53033022804,113750,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022805,WA,53033022805,53033022805,130162,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022901,WA,53033022901,53033022901,160586,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022902,WA,53033022902,53033022902,164241,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023000,WA,53033023000,53033023000,164612,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023100,WA,53033023100,53033023100,162708,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023201,WA,53033023201,53033023201,101778,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023202,WA,53033023202,53033023202,69659,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023300,WA,53033023300,53033023300,120625,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023401,WA,53033023401,53033023401,119795,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023403,WA,53033023403,53033023403,148688,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023404,WA,53033023404,53033023404,123438,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023500,WA,53033023500,53033023500,143417,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023601,WA,53033023601,53033023601,131806,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023603,WA,53033023603,53033023603,144539,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023604,WA,53033023604,53033023604,105945,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023701,WA,53033023701,53033023701,182353,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023702,WA,53033023702,53033023702,120427,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023801,WA,53033023801,53033023801,119022,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023805,WA,53033023805,53033023805,136848,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023806,WA,53033023806,53033023806,145488,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023807,WA,53033023807,53033023807,136408,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023808,WA,53033023808,53033023808,129302,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023901,WA,53033023901,53033023901,151964,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023902,WA,53033023902,53033023902,250001,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024001,WA,53033024001,53033024001,172566,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024002,WA,53033024002,53033024002,156146,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024100,WA,53033024100,53033024100,250001,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024200,WA,53033024200,53033024200,208500,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024301,WA,53033024301,53033024301,97813,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024302,WA,53033024302,53033024302,195642,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024400,WA,53033024400,53033024400,102361,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024500,WA,53033024500,53033024500,242857,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024601,WA,53033024601,53033024601,250001,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024602,WA,53033024602,53033024602,250001,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024701,WA,53033024701,53033024701,96103,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024703,WA,53033024703,53033024703,179081,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024704,WA,53033024704,53033024704,163534,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024800,WA,53033024800,53033024800,113333,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024901,WA,53033024901,53033024901,194250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024902,WA,53033024902,53033024902,183083,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024904,WA,53033024904,53033024904,232696,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024905,WA,53033024905,53033024905,235515,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033025001,WA,53033025001,53033025001,143523,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033025005,WA,53033025005,53033025005,141985,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033025006,WA,53033025006,53033025006,166520,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033025007,WA,53033025007,53033025007,145147,2017-2021,2020,Census,"King (County, 2020)"
